z,t,s
0,5.527963084,34.84036791
4.952797914,5.527963084,34.84036791
9.905475704,5.527963084,34.84036791
14.85803339,5.527963084,34.84036791
19.81047098,5.527963084,34.84036791
24.76278851,5.527963084,34.84036791
29.71498598,5.527963084,34.84036791
34.66706342,5.527963084,34.84036791
39.61902084,5.527963084,34.84036791
44.57085826,5.527963084,34.84036791
49.52257569,5.527963084,34.84036791
54.47417316,5.527963084,34.84036791
59.42565069,5.527963084,34.84036791
64.37700828,5.527963084,34.84036791
69.32824596,5.527963084,34.84036791
74.27936375,5.486494919,34.86337844
79.23036166,5.425624546,34.86802591
84.18123971,5.36062012,34.86702623
89.13199792,5.262526122,34.86588392
94.0826363,5.167424878,34.858043
99.03315487,5.06431787,34.85062149
103.9835537,4.965323642,34.84064526
108.9338327,4.942803103,34.84018707
113.8839919,4.919722448,34.84388862
118.8340315,4.827731932,34.83772376
123.7839513,4.798652645,34.83659194
128.7337514,4.815192895,34.84133685
133.6834318,4.758643866,34.84043618
138.6329925,4.816326044,34.85183954
143.5824336,4.829054532,34.85753738
148.5317551,4.852471021,34.86450038
153.480957,4.84848289,34.86834103
158.4300392,4.799485696,34.86387026
163.3790019,4.760917094,34.86152892
168.327845,4.751971572,34.86021851
173.2765686,4.773653892,34.86545383
178.2251726,4.819995907,34.87600679
183.1736572,4.736157343,34.87041787
188.1220222,4.667812088,34.86091411
193.0702678,4.700057627,34.86933582
198.0183939,4.681479056,34.86873245
202.9664006,4.639755668,34.86832857
207.9142879,4.442097391,34.84889513
212.8620557,4.329748054,34.83401497
217.8097042,4.304478177,34.83291538
222.7572333,4.316413573,34.83908119
227.704643,4.313883984,34.8389291
232.6519334,4.379356316,34.85618415
237.5991045,4.428341738,34.86376854
242.5461563,4.417370882,34.86702226
247.4930889,4.444537801,34.87349053
252.4399021,4.518201729,34.88837163
257.3865961,4.513064847,34.88882304
262.3331709,4.508040565,34.89089551
267.2796264,4.485402831,34.89007565
272.2259628,4.458477582,34.88959177
277.17218,4.452384967,34.8930644
282.118278,4.448808364,34.89721923
287.0642569,4.415352373,34.89611548
292.0101167,4.402008729,34.89546335
296.9558574,4.416146965,34.89786709
301.9014789,4.457936877,34.90653966
306.8469814,4.449741017,34.90932053
311.7923649,4.422046134,34.90701614
316.7376293,4.391735943,34.90519725
321.6827746,4.353119605,34.90089726
326.627801,4.30692934,34.89605487
331.5727084,4.255389951,34.89053221
336.5174969,4.247143433,34.88911988
341.4621663,4.24481191,34.88854614
346.4067169,4.208119651,34.88398431
351.3511485,4.131467338,34.87476117
356.2954612,4.08396572,34.87166803
361.2396551,4.074295522,34.87176027
366.1837301,4.054675448,34.87091635
371.1276862,4.039207254,34.87098308
376.0715235,4.075303438,34.87838524
381.0152421,4.131404668,34.88680036
385.9588418,4.142686832,34.88984117
390.9023227,4.154765031,34.89345628
395.8456849,4.137906199,34.89296007
400.7889283,4.119005752,34.89121164
405.732053,4.117078588,34.89103376
410.675059,4.113589739,34.89139025
415.6179463,4.109159412,34.89159111
420.560715,4.105323884,34.89253913
425.503365,4.08167438,34.89025104
430.4458963,4.051305674,34.88656706
435.388309,4.02313632,34.88435363
440.3306032,4.00151771,34.88199773
445.2727787,3.988175708,34.88021718
450.2148357,3.983827173,34.88129043
455.1567741,3.981832141,34.8816342
460.098594,3.975954262,34.88159875
465.0402954,3.981547345,34.88283678
469.9818783,3.972751938,34.88257301
474.9233427,3.958565946,34.8809043
479.8646886,3.934916057,34.87790165
484.8059161,3.917424422,34.87687116
489.7470251,3.883824849,34.87387592
494.6880158,3.87288736,34.87216795
499.628888,3.868654565,34.8712664
504.5696419,3.865542175,34.87156873
509.5102774,3.848103103,34.86947282
514.4507946,3.838104864,34.86862038
519.3911934,3.838373629,34.87012785
524.331474,3.821761181,34.86994395
529.2716362,3.806097091,34.86774101
534.2116802,3.798987954,34.86719765
539.1516059,3.787059276,34.8653684
544.0914134,3.777435711,34.86579315
549.0311027,3.747558472,34.86229324
553.9706737,3.747896575,34.86275981
558.9101266,3.763303766,34.86637087
563.8494613,3.732352543,34.8623065
568.7886778,3.728039435,34.8623847
573.7277763,3.72154199,34.86197081
578.6667565,3.716180202,34.8621979
583.6056187,3.696046218,34.85963073
588.5443629,3.680576757,34.85827434
593.4829889,3.66135465,34.85558825
598.4214969,3.65397195,34.85453732
603.3598869,3.659272448,34.85606693
608.2981588,3.669380678,34.85886129
613.2363128,3.662672634,34.85873056
618.1743488,3.669201296,34.86077041
623.1122668,3.709554251,34.86596044
628.0500668,3.728169356,34.87000378
632.987749,3.718141011,34.86943013
637.9253132,3.701831703,34.86752076
642.8627596,3.714179022,34.86967368
647.800088,3.718386479,34.87085871
652.7372986,3.71143739,34.87054277
657.6743914,3.707628968,34.87040208
662.6113663,3.706032359,34.86989613
667.5482235,3.681626364,34.86764778
672.4849628,3.690437991,34.86916358
677.4215844,3.708563084,34.87302124
682.3580882,3.714887934,34.87402828
687.2944743,3.714515885,34.87446867
692.2307426,3.708974049,34.87417827
697.1668933,3.692797601,34.87240881
702.1029262,3.65774114,34.8688796
707.0388415,3.65882042,34.86859156
711.9746392,3.657911727,34.86882791
716.9103192,3.667863382,34.8706888
721.8458816,3.668764325,34.87148528
726.7813264,3.617811343,34.86468653
731.7166536,3.596736086,34.86156538
736.6518632,3.583777758,34.86016305
741.5869553,3.595940701,34.86189652
746.5219299,3.633516269,34.86686006
751.4567869,3.640532589,34.87094381
756.3915265,3.624526777,34.86917493
761.3261486,3.618678445,34.86876065
766.2606532,3.612071868,34.86892903
771.1950403,3.616162295,34.86998448
776.1293101,3.634089426,34.87299642
781.0634624,3.596827057,34.86957451
785.9974973,3.552455263,34.86262431
790.9314149,3.564617486,34.86530487
795.865215,3.547489234,34.86328869
800.7988979,3.529150035,34.86069644
805.7324634,3.536699273,34.86170365
810.6659116,3.555580503,34.86621571
815.5992426,3.554197944,34.86615221
820.5324562,3.558662898,34.86753611
825.4655526,3.553233815,34.86702308
830.3985318,3.547428271,34.86623893
835.3313937,3.530859422,34.86474482
840.2641384,3.523342702,34.86418167
845.1967659,3.518979855,34.86429579
850.1292763,3.519487184,34.86418835
855.0616695,3.51964755,34.86634578
859.9939456,3.5136656,34.86514951
864.9261045,3.521679647,34.86656831
869.8581464,3.529021913,34.86832772
874.7900712,3.537036331,34.86995304
879.7218788,3.527017776,34.8698204
884.6535695,3.517019301,34.869005
889.5851431,3.51027005,34.86861379
894.5165997,3.514887336,34.86969621
899.4479393,3.506375446,34.86919235
904.3791619,3.516664415,34.8705789
909.3102675,3.521939322,34.87242043
914.2412562,3.514455222,34.87138677
919.172128,3.510215788,34.87125155
924.1028828,3.514739674,34.87186266
929.0335208,3.523253733,34.87374465
933.9640419,3.523130842,34.87414372
938.8944461,3.531307753,34.87618071
943.8247334,3.516710137,34.87493518
948.754904,3.503007279,34.87346425
953.6849577,3.505215243,34.87460052
958.6148946,3.500923535,34.87407552
963.5447147,3.499662125,34.87377191
968.4744181,3.501319629,34.87518398
973.4040048,3.502666657,34.87578188
978.3334747,3.504829208,34.87738925
983.2628279,3.510596991,34.87822843
988.1920644,3.511058318,34.87917866
993.1211842,3.514467511,34.88010708
998.0501874,3.509391062,34.88010526
1002.979074,3.508777021,34.88079776
1007.907844,3.508147283,34.88166222
1012.836497,3.503748565,34.88193645
1017.765034,3.5011261,34.88196056
1022.693454,3.497919621,34.88282643
1027.621758,3.516175873,34.88638994
1032.549945,3.53030984,34.88977289
1037.478015,3.530584106,34.89028507
1042.405969,3.531373194,34.89036415
1047.333807,3.529154961,34.89026722
1052.261528,3.530212359,34.89103658
1057.189132,3.526338918,34.89094904
1062.11662,3.494899166,34.88702433
1067.043992,3.489341322,34.88724647
1071.971248,3.483009605,34.88658396
1076.898386,3.479375155,34.88687674
1081.825409,3.478260655,34.88679834
1086.752315,3.473451383,34.88746814
1091.679105,3.471120665,34.88776265
1096.605779,3.471018538,34.88821486
1101.532336,3.470826441,34.88825745
1106.458777,3.472557904,34.88849328
1111.385102,3.472673744,34.88928203
1116.31131,3.470583413,34.88906643
1121.237402,3.477338246,34.89032289
1126.163378,3.482137916,34.89126392
1131.089238,3.488341133,34.89330272
1136.014982,3.484143218,34.8929171
1140.940609,3.486064713,34.89501449
1145.866121,3.483829546,34.8948296
1150.791516,3.487787953,34.89641477
1155.716795,3.511509798,34.90044903
1160.641958,3.49877029,34.8995215
1165.567005,3.488910411,34.89792323
1170.491936,3.496270656,34.89931909
1175.41675,3.483094132,34.89958493
1180.341449,3.477695762,34.8988092
1185.266032,3.492208325,34.90135042
1190.190499,3.500135216,34.90305044
1195.114849,3.516135503,34.90612389
1200.039084,3.517156577,34.90783766
1204.963203,3.51139907,34.90735182
1209.887206,3.49986876,34.9050722
1214.811093,3.498955282,34.90546816
1219.734864,3.501904496,34.90671634
1224.658519,3.462183999,34.90170937
1229.582059,3.445912781,34.8988526
1234.505482,3.457288659,34.90068798
1239.42879,3.487620429,34.90559873
1244.351982,3.483164388,34.90610056
1249.275058,3.47247824,34.90472204
1254.198018,3.438155563,34.89980743
1259.120863,3.428140189,34.89882967
1264.043592,3.436250388,34.90079994
1268.966205,3.430418342,34.90005578
1273.888702,3.392034974,34.89531647
1278.811084,3.373369198,34.89364297
1283.73335,3.375614156,34.89468312
1288.6555,3.412247524,34.90102862
1293.577535,3.403081075,34.90001232
1298.499454,3.385341829,34.8974215
1303.421258,3.40204984,34.90024121
1308.342946,3.441195707,34.90746611
1313.264518,3.434451375,34.90793505
1318.185975,3.391902567,34.9020847
1323.107316,3.422066532,34.9068582
1328.028542,3.438232631,34.91055736
1332.949652,3.428221913,34.90954671
1337.870646,3.400832842,34.90545057
1342.791526,3.396163628,34.90471168
1347.712289,3.396750267,34.9052202
1352.632938,3.379704208,34.90278712
1357.553471,3.374454865,34.90248952
1362.473888,3.352725362,34.90009106
1367.39419,3.323554475,34.89497036
1372.314377,3.311181829,34.89388085
1377.234449,3.312881889,34.89415624
1382.154405,3.297319003,34.89207979
1387.074245,3.287370537,34.89122502
1391.993971,3.282046879,34.89000118
1396.913581,3.277253885,34.88965284
1401.833076,3.26560033,34.88864079
1406.752455,3.257248522,34.88788288
1411.67172,3.245716512,34.88618763
1416.590869,3.257789199,34.88849825
1421.509903,3.253247676,34.88784677
1426.428822,3.251720616,34.88854923
1431.347625,3.244555895,34.8874277
1436.266314,3.236101305,34.88688938
1441.184887,3.224867275,34.88520393
1446.103345,3.218804915,34.88475911
1451.021688,3.216644929,34.88428073
1455.939916,3.20961687,34.88360504
1460.858029,3.19892187,34.88268299
1465.776027,3.192453991,34.88219701
1470.69391,3.189275915,34.88239469
1475.611678,3.18710263,34.88179549
1480.529331,3.185150046,34.88229942
1485.446869,3.183834286,34.88261538
1490.364291,3.183667061,34.88277795
1495.281599,3.180008904,34.88203182
1500.198792,3.17798739,34.88230506
1505.11587,3.174191747,34.88244255
1510.032834,3.178811208,34.88288066
1514.949682,3.178894735,34.883326
1519.866415,3.170443092,34.8830069
1524.783034,3.171702066,34.88298883
1529.699537,3.17309236,34.8835446
1534.615926,3.176053054,34.88437764
1539.532201,3.175639937,34.88501027
1544.44836,3.182542627,34.88645142
1549.364404,3.185675888,34.88763582
1554.280334,3.186847718,34.88795984
1559.196149,3.183954378,34.88783425
1564.11185,3.182196708,34.88799188
1569.027435,3.181178607,34.88774218
1573.942906,3.174591498,34.88718174
1578.858262,3.167127496,34.88636172
1583.773504,3.159918004,34.88506511
1588.688631,3.160724201,34.88505046
1593.603644,3.165350326,34.88620673
1598.518541,3.168874218,34.887383
1603.433325,3.166675988,34.8877319
1608.347993,3.164808382,34.88750326
1613.262547,3.167630185,34.88735418
1618.176987,3.17338183,34.88948549
1623.091312,3.174625356,34.88998338
1628.005522,3.178653962,34.89076628
1632.919618,3.183800123,34.89229138
1637.8336,3.186997071,34.89369676
1642.747467,3.18788845,34.89411446
1647.66122,3.188295093,34.89470279
1652.574858,3.187148376,34.8958462
1657.488382,3.186819185,34.89669633
1662.401792,3.186328721,34.89613771
1667.315087,3.185796982,34.89625617
1672.228267,3.184959622,34.89677756
1677.141334,3.179906067,34.89637009
1682.054286,3.178252334,34.89667771
1686.967124,3.177445995,34.89697299
1691.879847,3.177137366,34.89742407
1696.792457,3.17925937,34.89796695
1701.704952,3.17940182,34.89890448
1706.617333,3.179995051,34.89965737
1711.529599,3.183099506,34.90103852
1716.441751,3.183539499,34.90083397
1721.35379,3.181511669,34.90200182
1726.265714,3.1784903,34.90145064
1731.177524,3.176291273,34.90158078
1736.089219,3.170639878,34.90110398
1741.000801,3.167578617,34.9013777
1745.912268,3.165942836,34.90133917
1750.823622,3.165684763,34.90081867
1755.734861,3.163993204,34.90091641
1760.645987,3.162670635,34.9015413
1765.556998,3.176849627,34.904895
1770.467895,3.175746622,34.90542407
1775.378678,3.176059649,34.90616128
1780.289348,3.177287522,34.90649199
