z,t,s,d
0,5.527963084,34.84036791,27.48567305684537
4.952797914,5.527963084,34.84036791,27.48567305684537
9.905475704,5.527963084,34.84036791,27.48567305684537
14.85803339,5.527963084,34.84036791,27.48567305684537
19.81047098,5.527963084,34.84036791,27.48567305684537
24.76278851,5.527963084,34.84036791,27.48567305684537
29.71498598,5.527963084,34.84036791,27.48567305684537
34.66706342,5.527963084,34.84036791,27.48567305684537
39.61902084,5.527963084,34.84036791,27.48567305684537
44.57085826,5.527963084,34.84036791,27.48567305684537
49.52257569,5.527963084,34.84036791,27.48567305684537
54.47417316,5.527963084,34.84036791,27.48567305684537
59.42565069,5.527963084,34.84036791,27.48567305684537
64.37700828,5.527963084,34.84036791,27.48567305684537
69.32824596,5.527963084,34.84036791,27.48567305684537
74.27936375,5.486494919,34.86337844,27.508960871754425
79.23036166,5.425624546,34.86802591,27.520050594527902
84.18123971,5.36062012,34.86702623,27.52712503785142
89.13199792,5.262526122,34.86588392,27.53799773678702
94.0826363,5.167424878,34.858043,27.543095083903154
99.03315487,5.06431787,34.85062149,27.549354304462213
103.9835537,4.965323642,34.84064526,27.552982690744102
108.9338327,4.942803103,34.84018707,27.555228081753285
113.8839919,4.919722448,34.84388862,27.560831674832116
118.8340315,4.827731932,34.83772376,27.56651078017444
123.7839513,4.798652645,34.83659194,27.56893304053665
128.7337514,4.815192895,34.84133685,27.570810666362604
133.6834318,4.758643866,34.84043618,27.57653595617944
138.6329925,4.816326044,34.85183954,27.579014896846502
143.5824336,4.829054532,34.85753738,27.582080553249398
148.5317551,4.852471021,34.86450038,27.584922328994935
153.480957,4.84848289,34.86834103,27.588426905782626
158.4300392,4.799485696,34.86387026,27.590484075881704
163.3790019,4.751971572,34.86021851,27.59299359183433
168.327845,4.760917094,34.86152892,27.593017564884804
173.2765686,4.773653892,34.86545383,27.59468408493626
178.2251726,4.819995907,34.87600679,27.59777159922396
183.1736572,4.736157343,34.87041787,27.602882626383234
188.1220222,4.667812088,34.86091411,27.60305834475821
193.0702678,4.700057627,34.86933582,27.606108515190726
198.0183939,4.681479056,34.86873245,27.60772573796089
202.9664006,4.639755668,34.86832857,27.612097809209445
207.9142879,4.442097391,34.84889513,27.618609998464535
212.8620557,4.329748054,34.83401497,27.619048848721604
217.8097042,4.304478177,34.83291538,27.620911901240788
222.7572333,4.316413573,34.83908119,27.62452077792068
227.704643,4.313883984,34.8389291,27.62467385649643
232.6519334,4.379356316,34.85618415,27.63127015150235
237.5991045,4.428341738,34.86376854,27.63193691489755
242.5461563,4.417370882,34.86702226,27.635725094234203
247.4930889,4.444537801,34.87349053,27.637882307547443
252.4399021,4.518201729,34.88837163,27.641571927460518
257.3865961,4.513064847,34.88882304,27.642499718452882
262.3331709,4.508040565,34.89089551,27.644702369208744
267.2796264,4.485402831,34.89007565,27.646554754913268
272.2259628,4.458477582,34.88959177,27.649140227483713
277.17218,4.452384967,34.8930644,27.652569921331633
282.118278,4.448808364,34.89721923,27.656264445502984
287.0642569,4.415352373,34.89611548,27.659062527272226
292.0101167,4.402008729,34.89546335,27.660006379672268
296.9558574,4.416146965,34.89786709,27.66036715843302
301.9014789,4.457936877,34.90653966,27.662664002104293
306.8469814,4.449741017,34.90932053,27.665775947107022
311.7923649,4.422046134,34.90701614,27.666989383152668
316.7376293,4.391735943,34.90519725,27.66886530558986
321.6827746,4.353119605,34.90089726,27.669663404225957
326.627801,4.30692934,34.89605487,27.67083282630415
331.5727084,4.24481191,34.88854614,27.671571251961723
336.5174969,4.247143433,34.88911988,27.671776480503922
341.4621663,4.208119651,34.88398431,27.67188408940683
346.4067169,4.255389951,34.89053221,27.672011304987336
351.3511485,4.131467338,34.87476117,27.67272687321497
356.2954612,4.08396572,34.87166803,27.67529802220065
361.2396551,4.074295522,34.87176027,27.676392318697253
366.1837301,4.054675448,34.87091635,27.677788888153145
371.1276862,4.039207254,34.87098308,27.67946901879759
376.0715235,4.075303438,34.87838524,27.68155595875851
