time,tx,ty,qlat,qsens,lw,sw,precip,,,
0,0,0,17.85794356,7.752073455,67.79143761,-116.4663905,3.35E+05,,,
0.25,0,0,17.24090043,6.88201393,69.46374982,-2.80E-05,9.51E+05,,,
0.5,0,0,22.54486618,7.092186483,87.24758114,-194.1961218,2.90E+04,,,
0.75,0,0,13.45771101,3.040219216,88.12147373,-572.6268207,-1.54E+00,,,
1,0,0,12.22296538,4.184287259,82.16928275,-154.3832885,-1.54E+00,,,
1.25,0,0,4.09501715,0.985420141,54.0557083,-2.80E-05,-1.54E+00,,,
1.5,0,0,17.82930723,3.770901263,47.12589939,-133.9731064,-1.54E+00,,,
1.75,0,0,34.91048549,7.632738902,34.52335383,-285.9603192,2.00E+05,,,
2,0,0,28.16540352,3.892478747,33.22860267,-86.6464281,3.41E+05,,,
2.25,0,0,26.0106556,0.915025146,71.60067486,-2.80E-05,4.25E+04,,,
2.5,0,0,18.68399025,0.749674133,85.6400468,-192.0310878,8.27E+03,,,
2.75,0,0,8.729550018,-2.597599746,74.75731555,-559.7439929,-1.54E+00,,,
3,0,0,8.850347073,-2.061083471,58.37260186,-138.5906187,-1.54E+00,,,
3.25,0,0,7.367067767,-13.28839262,23.09724317,-2.80E-05,-1.54E+00,,,
3.5,0,0,8.694041589,-18.21977951,12.93791517,-95.30486671,-1.54E+00,,,
3.75,0,0,-0.090361132,-11.24141221,12.8653991,-243.5072315,3.04E+05,,,
4,0,0,1.470338592,-4.048034317,5.838168477,-60.35376143,3.11E+04,,,
4.25,0,0,10.87330744,0.572184315,25.11295023,-2.80E-05,4.39E+04,,,
4.5,0,0,27.50992223,6.07256427,53.33558699,-155.4000496,1.16E+03,,,
4.75,0,0,31.36594547,4.070684883,75.09363409,-523.6419915,-1.54E+00,,,
5,0,0,24.59480963,5.429103426,78.1133432,-134.7299767,-1.54E+00,,,
5.25,0,0,25.44452081,5.770183636,79.56911739,-2.80E-05,-1.54E+00,,,
5.5,0,0,16.19657225,1.500432583,63.85534588,-149.6558211,-1.54E+00,,,
5.75,0,0,5.980044766,-2.832846292,61.19488204,-475.2802528,-1.54E+00,,,
6,0,0,8.093742176,1.570947098,70.801254,-116.8552143,-1.54E+00,,,
6.25,0,0,5.264382081,1.470818498,50.24915825,-2.80E-05,1.04E+05,,,
6.5,0,0,6.115233933,-0.343714861,28.22791745,-90.41909569,1.33E+06,,,
6.75,0,0,4.003075918,1.424776368,14.22026435,-143.3958383,2.13E+06,,,
7,0,0,-0.24744808,-0.535947726,11.37487306,-43.11859145,2.68E+06,,,
7.25,0,0,3.57664529,0.457545359,27.18005313,-2.80E-05,1.13E+06,,,
7.5,0,0,17.25299669,4.447686549,49.67606905,-124.0107458,1.05E+05,,,
7.75,0,0,23.24849702,5.343793952,61.35239237,-443.3798168,5.34E+03,,,
8,0,0,17.64426212,4.10639908,61.26412511,-104.8833992,-1.54E+00,,,
8.25,0,0,7.806514941,1.632390024,75.69805011,-2.80E-05,-1.54E+00,,,
8.5,0,0,6.312935463,-0.094369868,54.11286534,-142.2708996,1.65E+04,,,
8.75,0,0,5.990748552,-6.034059708,29.29512863,-278.361411,1.19E+04,,,
9,0,0,7.673346999,-11.73292673,28.88312947,-69.35356824,-1.54E+00,,,
9.25,0,0,3.896061558,-10.5040552,23.37289417,-2.80E-05,-1.54E+00,,,
9.5,0,0,-0.812873188,-14.39296365,23.31568401,-75.66080884,3.19E+05,,,
9.75,0,0,-0.645902169,-8.664930828,12.25797322,-156.4691989,5.95E+06,,,
10,0,0,23.79671171,-3.608503273,40.34473918,-48.38450241,1.74E+06,,,
10.25,0,0,16.74711784,0.118094175,38.84930028,-2.80E-05,6.67E+05,,,
10.5,0,0,24.25344994,2.322950988,57.29536669,-116.63661,4.00E+05,,,
10.75,0,0,25.416347,7.440416551,49.39210314,-325.0523658,7.40E+05,,,
11,0,0,30.66145182,7.159194246,74.93271949,-103.3502286,5.80E+03,,,
11.25,0,0,25.23257407,7.270726173,65.70989848,-2.80E-05,2.81E+03,,,
11.5,0,0,17.02644951,3.149554882,56.88070552,-133.6406,-1.54E+00,,,
11.75,0,0,5.295533878,-3.306875201,44.63300208,-389.9173345,-1.54E+00,,,
12,0,0,0.237474351,-4.677518541,43.32344549,-91.89149957,3.52E+05,,,
12.25,0,0,-19.61003621,-20.71617654,16.99076847,-2.80E-05,5.01E+06,,,
12.5,0,0,-11.84853444,-13.74188431,6.323020694,-46.56283102,7.55E+06,,,
12.75,0,0,-0.280925125,-1.36961876,12.93358811,-147.0946693,3.84E+06,,,
13,0,0,10.1431648,-3.095420977,18.01494275,-28.92661953,1.18E+06,,,
13.25,0,0,12.15304407,-4.573370819,37.08579612,-2.80E-05,7.51E+05,,,
13.5,0,0,12.67003009,3.143213725,69.34919809,-144.934081,1.37E+05,,,
13.75,0,0,3.270193761,1.325828775,46.16242264,-334.215824,6.87E+04,,,
14,0,0,6.656728746,3.495888607,47.01546693,-78.17249942,1.19E+04,,,
14.25,0,0,11.60556633,6.121696679,56.3778305,-2.80E-05,2.21E+04,,,
14.5,0,0,20.96390184,7.957139104,59.38065588,-110.4396051,1.99E+04,,,
14.75,0,0,25.9547471,10.67840695,71.49145758,-450.8470719,1.16E+03,,,
15,0,0,26.49437322,6.122436059,52.02388112,-83.03659885,5.96E+03,,,
15.25,0,0,19.23156947,1.392180348,37.07531775,-2.80E-05,2.33E+05,,,
15.5,0,0,8.044166926,-1.305174102,20.12587586,-58.33074965,5.27E+06,,,
15.75,0,0,35.82527212,5.074274371,21.11117889,-202.5958251,2.38E+06,,,
16,0,0,76.88659142,32.07506556,59.76038053,-72.90440188,5.75E+05,,,
16.25,0,0,91.30122899,42.94769738,72.07885203,-2.80E-05,1.15E+06,,,
16.5,0,0,69.15993872,22.20770372,76.04051116,-131.2699516,6.66E+05,,,
16.75,0,0,59.66643583,26.53722085,74.21142674,-396.1612094,1.72E+06,,,
17,0,0,35.66280393,16.25404976,88.82201753,-83.87795602,8.27E+03,,,
17.25,0,0,46.41000613,19.05180547,79.45208612,-2.80E-05,5.21E+05,,,
17.5,0,0,51.21797679,16.90668353,83.64189428,-135.6903651,6.24E+04,,,
17.75,0,0,47.6992132,18.41122093,70.99309415,-370.5069052,1.86E+05,,,
18,0,0,31.48349076,11.6654321,74.04426133,-64.0374769,3.20E+04,,,
18.25,0,0,22.95923191,6.254884744,72.09914674,-2.80E-05,1.16E+03,,,
18.5,0,0,37.7744014,9.269479009,63.89843576,-117.2442987,-1.54E+00,,,
18.75,0,0,54.84533893,10.24819314,48.74177176,-359.1703955,-1.54E+00,,,
19,0,0,53.5061853,12.74610691,60.80476435,-78.78082705,-1.54E+00,,,
19.25,0,0,17.00138268,2.245535158,28.66522117,-2.80E-05,7.31E+04,,,
19.5,0,0,29.56128729,10.31325393,23.59085766,-59.34401473,2.07E+05,,,
19.75,0,0,32.62407827,13.56944019,23.11637551,-182.2082687,6.77E+05,,,
20,0,0,32.19385476,17.63516113,19.54077658,-25.72768005,2.97E+06,,,
20.25,0,0,36.76568672,9.084721784,48.13118117,-2.80E-05,1.68E+05,,,
20.5,0,0,28.1519911,7.244141476,77.99327878,-134.7065173,-1.54E+00,,,
20.75,0,0,34.38166884,8.086004107,62.12714715,-402.5382554,-1.54E+00,,,
21,0,0,24.55629744,2.844938049,45.43055216,-70.31987928,-1.54E+00,,,
21.25,0,0,19.44874902,2.407551549,49.91873026,-2.80E-05,-1.54E+00,,,
21.5,0,0,28.75711041,7.167892467,47.29934752,-100.4878848,-1.54E+00,,,
21.75,0,0,27.41337086,7.690934956,59.02084809,-361.9850274,-1.54E+00,,,
22,0,0,31.72149567,9.042562232,50.30101055,-70.54055981,-1.54E+00,,,
22.25,0,0,22.47623092,6.653572984,45.65719948,-2.80E-05,-1.54E+00,,,
22.5,0,0,29.77288926,6.58314843,45.39877798,-94.71975849,-1.54E+00,,,
22.75,0,0,26.47296369,-0.05163315,30.89089068,-246.9917375,-1.54E+00,,,
23,0,0,18.08084345,-6.952803249,21.54214677,-39.24989527,3.31E+03,,,
23.25,0,0,-10.74048167,-16.39368699,-1.88528784,-2.80E-05,1.34E+06,,,
